epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,580.817,1.65044,3.20861,2.17547,0.78116,0.42325,0.48525,0.27927,1.76185,3.22167,2.26226,0.0800681,5.59661e-05,5.59661e-05
2,1089.42,1.58206,2.94298,2.10151,0.60889,0.52803,0.52709,0.31347,1.61132,2.88777,2.17502,0.0601241,0.000111963,0.000111963
3,1591.81,1.52569,2.79966,2.04228,0.57366,0.55974,0.54856,0.33232,1.51852,2.53726,2.10094,0.0401801,0.000167949,0.000167949
4,2088.97,1.46922,2.63497,1.97455,0.64368,0.59376,0.6023,0.35142,1.49691,2.3664,2.03773,0.020236,0.000223916,0.000223916
5,2583.51,1.42385,2.47214,1.92002,0.69624,0.62859,0.6485,0.39352,1.44468,2.1533,1.95262,0.000291977,0.000279856,0.000279856
6,3076.73,1.38706,2.35118,1.88596,0.68349,0.64208,0.66224,0.4104,1.42259,2.10315,1.96909,0.000279827,0.000279827,0.000279827
7,3569.88,1.36037,2.2806,1.85832,0.70503,0.66302,0.68419,0.43013,1.35869,1.97649,1.90558,0.000279751,0.000279751,0.000279751
8,4061.73,1.32754,2.15539,1.81701,0.69789,0.66978,0.67776,0.4289,1.36527,1.95317,1.90302,0.000279662,0.000279662,0.000279662
9,4552.73,1.30251,2.09413,1.79994,0.72187,0.67181,0.69506,0.4302,1.35647,1.88901,1.88396,0.000279558,0.000279558,0.000279558
10,5047.26,1.29176,2.06341,1.78378,0.75009,0.68552,0.72751,0.46242,1.31458,1.80248,1.82195,0.000279441,0.000279441,0.000279441
11,5539.47,1.26869,2.00533,1.76351,0.74307,0.67809,0.71367,0.45898,1.30786,1.79941,1.79308,0.00027931,0.00027931,0.00027931
12,6030.51,1.24839,1.93592,1.73454,0.74045,0.69386,0.72688,0.46795,1.28001,1.75036,1.75137,0.000279165,0.000279165,0.000279165
13,6523.06,1.23635,1.91456,1.73023,0.75454,0.70897,0.74257,0.49419,1.20651,1.66112,1.7172,0.000279006,0.000279006,0.000279006
14,7016.04,1.22768,1.89329,1.72221,0.75992,0.70524,0.75068,0.49791,1.21926,1.66452,1.7198,0.000278834,0.000278834,0.000278834
15,7508.34,1.21096,1.84463,1.70146,0.75784,0.71673,0.75529,0.50417,1.1955,1.60897,1.70423,0.000278648,0.000278648,0.000278648
16,7999.58,1.21068,1.81241,1.69701,0.77848,0.71599,0.7598,0.50606,1.19699,1.60845,1.72581,0.000278449,0.000278449,0.000278449
17,8491.02,1.19444,1.79329,1.68266,0.7944,0.70501,0.75721,0.51522,1.17049,1.56675,1.64982,0.000278236,0.000278236,0.000278236
18,8982.96,1.18061,1.76061,1.67161,0.77029,0.72673,0.77065,0.51715,1.18802,1.55534,1.66515,0.000278009,0.000278009,0.000278009
19,9474.32,1.17239,1.71901,1.66471,0.77515,0.74175,0.77319,0.52946,1.14415,1.51646,1.62254,0.000277768,0.000277768,0.000277768
20,9968.25,1.16727,1.70785,1.65342,0.7778,0.74839,0.78808,0.53913,1.12319,1.48644,1.60432,0.000277514,0.000277514,0.000277514
21,10460.3,1.15822,1.672,1.64338,0.81775,0.72956,0.78708,0.54318,1.11136,1.47806,1.58572,0.000277247,0.000277247,0.000277247
22,10952.5,1.15298,1.66375,1.6329,0.8012,0.74375,0.79377,0.5436,1.13938,1.43865,1.61991,0.000276966,0.000276966,0.000276966
23,11444.3,1.14731,1.64225,1.63658,0.80382,0.73942,0.7956,0.55465,1.08972,1.41981,1.58454,0.000276671,0.000276671,0.000276671
24,11935.9,1.13202,1.61533,1.61686,0.78202,0.75482,0.78883,0.54855,1.09795,1.41802,1.57341,0.000276363,0.000276363,0.000276363
25,12429.8,1.1287,1.61251,1.6149,0.80815,0.74424,0.80507,0.56059,1.07852,1.38098,1.55248,0.000276041,0.000276041,0.000276041
26,12922.4,1.11575,1.56665,1.59916,0.79685,0.75901,0.80649,0.56177,1.08011,1.36338,1.56641,0.000275707,0.000275707,0.000275707
27,13415,1.11835,1.5839,1.60349,0.8072,0.7618,0.81552,0.57155,1.06546,1.33768,1.53998,0.000275358,0.000275358,0.000275358
28,13907.8,1.10819,1.56099,1.58975,0.81067,0.7721,0.81883,0.57259,1.06096,1.32013,1.54301,0.000274997,0.000274997,0.000274997
29,14400.4,1.10405,1.52221,1.5863,0.836,0.76844,0.82534,0.57833,1.05236,1.29914,1.53383,0.000274622,0.000274622,0.000274622
30,14895.1,1.10036,1.52414,1.5854,0.82632,0.77786,0.83135,0.58435,1.0363,1.27874,1.53021,0.000274234,0.000274234,0.000274234
31,15387.7,1.09934,1.50087,1.57902,0.82324,0.76879,0.82529,0.58315,1.03767,1.28276,1.5255,0.000273833,0.000273833,0.000273833
32,15880,1.08279,1.46282,1.5598,0.81826,0.77171,0.82686,0.5876,1.03384,1.2665,1.5115,0.000273419,0.000273419,0.000273419
33,16372.9,1.08122,1.46556,1.56227,0.83338,0.78137,0.83794,0.59512,1.02469,1.2575,1.5041,0.000272991,0.000272991,0.000272991
34,16866.7,1.07653,1.45043,1.55661,0.82339,0.78699,0.83767,0.59834,1.02218,1.24151,1.50686,0.000272551,0.000272551,0.000272551
35,17361.6,1.07125,1.43158,1.54962,0.81854,0.79874,0.84205,0.60026,1.01574,1.21895,1.4913,0.000272098,0.000272098,0.000272098
36,17854,1.06924,1.41825,1.54602,0.82432,0.79152,0.84282,0.60178,1.00692,1.2148,1.48928,0.000271631,0.000271631,0.000271631
37,18347,1.06519,1.41328,1.54031,0.83684,0.79353,0.8496,0.60659,1.00948,1.1952,1.49376,0.000271152,0.000271152,0.000271152
38,18839.8,1.05039,1.38803,1.52609,0.8316,0.78788,0.84783,0.60628,1.00127,1.2054,1.48309,0.00027066,0.00027066,0.00027066
39,19332.1,1.05502,1.39727,1.5388,0.84963,0.78249,0.85588,0.61068,1.0016,1.17886,1.4931,0.000270155,0.000270155,0.000270155
40,19826.5,1.04399,1.36842,1.52642,0.82979,0.80864,0.85942,0.61596,0.99328,1.15468,1.47732,0.000269637,0.000269637,0.000269637
41,20319.4,1.05847,1.38744,1.53817,0.83473,0.80572,0.85826,0.61622,0.99358,1.14996,1.47141,0.000269107,0.000269107,0.000269107
42,20812.2,1.03819,1.3495,1.51837,0.82375,0.80734,0.85969,0.61909,0.9862,1.14197,1.47386,0.000268564,0.000268564,0.000268564
43,21305.1,1.03266,1.32032,1.50797,0.8406,0.80898,0.86295,0.62257,0.98245,1.13102,1.46087,0.000268008,0.000268008,0.000268008
44,21798.3,1.02926,1.31707,1.50727,0.83316,0.81938,0.86244,0.62471,0.97673,1.11469,1.4502,0.00026744,0.00026744,0.00026744
45,22292.8,1.02038,1.29651,1.49475,0.8461,0.81655,0.86234,0.62658,0.97997,1.11767,1.45568,0.00026686,0.00026686,0.00026686
46,22785.7,1.0215,1.30442,1.49633,0.85768,0.82269,0.86666,0.62868,0.9749,1.10224,1.44856,0.000266267,0.000266267,0.000266267
47,23277.9,1.01886,1.30592,1.49887,0.85606,0.81842,0.86987,0.6309,0.97225,1.09087,1.44876,0.000265662,0.000265662,0.000265662
48,23770.7,1.01615,1.28061,1.49061,0.85491,0.82166,0.87386,0.63375,0.97055,1.0799,1.45128,0.000265044,0.000265044,0.000265044
49,24263.7,1.01081,1.27807,1.488,0.86003,0.81836,0.87426,0.63337,0.96637,1.07668,1.44264,0.000264415,0.000264415,0.000264415
50,24757.7,1.00412,1.24854,1.48055,0.85926,0.82604,0.8772,0.63564,0.96517,1.06988,1.44204,0.000263773,0.000263773,0.000263773
51,25251.3,0.99985,1.24166,1.47873,0.86973,0.81232,0.87662,0.63756,0.9611,1.0644,1.44267,0.000263119,0.000263119,0.000263119
52,25744.2,0.99762,1.26139,1.47724,0.87219,0.8159,0.87768,0.63751,0.96053,1.05735,1.44291,0.000262453,0.000262453,0.000262453
53,26237.4,0.99276,1.21891,1.46486,0.86541,0.82806,0.88001,0.64001,0.95399,1.04721,1.43808,0.000261776,0.000261776,0.000261776
54,26731.1,0.98725,1.21471,1.46184,0.86136,0.83273,0.88082,0.64231,0.94988,1.04073,1.43382,0.000261086,0.000261086,0.000261086
55,27226.1,0.98825,1.2134,1.46573,0.85965,0.83357,0.8809,0.64332,0.95107,1.03898,1.43484,0.000260385,0.000260385,0.000260385
56,27719.1,0.98871,1.21219,1.46104,0.86662,0.82983,0.88219,0.64468,0.95104,1.03365,1.43271,0.000259672,0.000259672,0.000259672
57,28212.1,0.98719,1.21737,1.46034,0.87186,0.83154,0.88407,0.64558,0.9483,1.02603,1.42849,0.000258948,0.000258948,0.000258948
58,28705.3,0.97708,1.18518,1.45585,0.87014,0.83241,0.88394,0.64635,0.94352,1.0193,1.42599,0.000258212,0.000258212,0.000258212
59,29198.2,0.97653,1.1919,1.44823,0.86934,0.836,0.88371,0.64698,0.94097,1.01624,1.42489,0.000257465,0.000257465,0.000257465
60,29693.4,0.9676,1.18367,1.44038,0.86754,0.83617,0.88336,0.64926,0.9408,1.01479,1.42447,0.000256706,0.000256706,0.000256706
61,30186.7,0.9654,1.17394,1.44549,0.86682,0.83943,0.88427,0.65035,0.94002,1.00966,1.4241,0.000255936,0.000255936,0.000255936
62,30680,0.95918,1.16021,1.43399,0.87098,0.83615,0.88488,0.65062,0.93943,1.00698,1.42523,0.000255155,0.000255155,0.000255155
63,31173.2,0.96072,1.16617,1.43531,0.87457,0.83304,0.8861,0.65283,0.93792,1.0013,1.4225,0.000254363,0.000254363,0.000254363
64,31666.1,0.9493,1.1416,1.42697,0.86787,0.84057,0.88761,0.65427,0.93508,0.99645,1.41995,0.00025356,0.00025356,0.00025356
65,32161.9,0.95143,1.13277,1.42297,0.87004,0.84115,0.88896,0.65642,0.93312,0.99063,1.41837,0.000252745,0.000252745,0.000252745
66,32664,0.94929,1.13782,1.42163,0.8768,0.83649,0.88991,0.65674,0.93187,0.98631,1.41722,0.00025192,0.00025192,0.00025192
67,33155.6,0.94564,1.12415,1.42276,0.88203,0.83218,0.88973,0.65789,0.92862,0.98289,1.4156,0.000251085,0.000251085,0.000251085
68,33647.1,0.94215,1.12139,1.42242,0.87817,0.83745,0.89072,0.65822,0.9257,0.98006,1.41327,0.000250238,0.000250238,0.000250238
69,34138.4,0.93989,1.11324,1.41749,0.88095,0.83759,0.89135,0.65964,0.92365,0.97733,1.41165,0.000249381,0.000249381,0.000249381
70,34632.4,0.93019,1.10255,1.40647,0.87953,0.83841,0.89141,0.66076,0.92179,0.97562,1.41029,0.000248514,0.000248514,0.000248514
71,35123.4,0.93416,1.10234,1.40874,0.87986,0.84073,0.8923,0.66077,0.92138,0.97352,1.41062,0.000247636,0.000247636,0.000247636
72,35615.8,0.93368,1.11205,1.40783,0.87504,0.84244,0.89237,0.66149,0.92125,0.96874,1.41046,0.000246748,0.000246748,0.000246748
73,36107.2,0.92425,1.09573,1.40021,0.87509,0.84504,0.89342,0.66256,0.92092,0.96491,1.41035,0.00024585,0.00024585,0.00024585
74,36598.8,0.92684,1.08368,1.39438,0.87402,0.84471,0.89336,0.66291,0.92053,0.96495,1.41013,0.000244942,0.000244942,0.000244942
75,37093.1,0.92902,1.09175,1.40129,0.8762,0.84443,0.89288,0.66311,0.91989,0.96354,1.40944,0.000244024,0.000244024,0.000244024
76,37584.2,0.92255,1.07829,1.39551,0.87354,0.84895,0.89387,0.66343,0.91878,0.96032,1.40822,0.000243095,0.000243095,0.000243095
77,38075.2,0.91448,1.08122,1.39056,0.8757,0.84929,0.89505,0.66447,0.91827,0.96005,1.40785,0.000242158,0.000242158,0.000242158
78,38566.4,0.9153,1.06976,1.38742,0.87558,0.84841,0.89548,0.66498,0.91672,0.96013,1.40682,0.00024121,0.00024121,0.00024121
79,39057.2,0.91898,1.07233,1.39807,0.87959,0.84546,0.89567,0.66491,0.91666,0.95775,1.4069,0.000240253,0.000240253,0.000240253
80,39551,0.91354,1.06482,1.38731,0.88385,0.84266,0.89579,0.66609,0.91639,0.95751,1.4061,0.000239286,0.000239286,0.000239286
81,40042.6,0.90377,1.05705,1.37907,0.8848,0.84284,0.89557,0.66585,0.91622,0.95769,1.40694,0.00023831,0.00023831,0.00023831
82,40533.7,0.90352,1.03836,1.38659,0.8853,0.84212,0.89575,0.6669,0.91576,0.95669,1.40647,0.000237325,0.000237325,0.000237325
83,41025.6,0.89419,1.03923,1.371,0.88767,0.84136,0.89657,0.6678,0.91493,0.95436,1.40527,0.000236331,0.000236331,0.000236331
84,41518.3,0.89489,1.03475,1.37581,0.88998,0.84025,0.89664,0.6679,0.91361,0.95196,1.40389,0.000235328,0.000235328,0.000235328
85,42012.6,0.89634,1.03578,1.3673,0.89004,0.8406,0.89705,0.66849,0.91318,0.94987,1.40346,0.000234315,0.000234315,0.000234315
86,42505.2,0.89571,1.03467,1.36916,0.89038,0.84156,0.89693,0.66842,0.91258,0.94754,1.40305,0.000233294,0.000233294,0.000233294
87,42996.9,0.88899,1.0222,1.36005,0.88914,0.84255,0.89719,0.66825,0.91205,0.94619,1.40247,0.000232265,0.000232265,0.000232265
88,43489.2,0.88391,1.01152,1.35973,0.89308,0.83942,0.89764,0.66938,0.91113,0.94503,1.40167,0.000231226,0.000231226,0.000231226
89,43981.1,0.8846,1.01096,1.35399,0.89167,0.83949,0.89809,0.67002,0.91029,0.94342,1.40059,0.000230179,0.000230179,0.000230179
90,44475,0.88366,1.00744,1.35651,0.89201,0.83956,0.89834,0.67058,0.90913,0.94278,1.39928,0.000229124,0.000229124,0.000229124
91,44967.1,0.87777,1.00502,1.34677,0.89419,0.83961,0.89894,0.67126,0.90885,0.9404,1.39931,0.000228061,0.000228061,0.000228061
92,45458.8,0.88247,1.01521,1.35307,0.89493,0.83944,0.89933,0.6715,0.90855,0.93918,1.39898,0.000226989,0.000226989,0.000226989
93,45950,0.87611,1.00032,1.34738,0.89577,0.8396,0.89834,0.67141,0.90823,0.9379,1.39814,0.00022591,0.00022591,0.00022591
94,46441.5,0.86864,0.98484,1.34657,0.89494,0.84168,0.89942,0.67244,0.90711,0.93729,1.39733,0.000224823,0.000224823,0.000224823
95,46935.2,0.86186,0.97896,1.33386,0.89379,0.84359,0.89961,0.67261,0.90706,0.93578,1.39734,0.000223727,0.000223727,0.000223727
96,47426.5,0.86598,0.98211,1.33491,0.89161,0.84646,0.90007,0.67343,0.90638,0.93421,1.39647,0.000222625,0.000222625,0.000222625
97,47918.8,0.85862,0.97135,1.33571,0.89169,0.84803,0.90004,0.67413,0.90609,0.93342,1.39639,0.000221514,0.000221514,0.000221514
98,48410.4,0.85476,0.96367,1.32676,0.89987,0.84346,0.90014,0.67449,0.90566,0.93216,1.39632,0.000220396,0.000220396,0.000220396
99,48901.7,0.8586,0.9608,1.33021,0.89463,0.84941,0.90071,0.67483,0.90537,0.93082,1.39617,0.000219271,0.000219271,0.000219271
100,49394.4,0.85061,0.95976,1.32238,0.89321,0.84986,0.90096,0.67515,0.9052,0.9297,1.39618,0.000218139,0.000218139,0.000218139
101,49885.8,0.85462,0.9665,1.32295,0.89335,0.85119,0.90134,0.67552,0.9043,0.92785,1.39567,0.000217,0.000217,0.000217
102,50377.1,0.84635,0.9509,1.31968,0.89195,0.85254,0.90139,0.67628,0.90419,0.92703,1.39552,0.000215854,0.000215854,0.000215854
103,50868.3,0.85232,0.96283,1.3236,0.89377,0.85183,0.90137,0.67651,0.90386,0.92628,1.39525,0.000214701,0.000214701,0.000214701
104,51359.7,0.83898,0.94239,1.31559,0.89544,0.85167,0.90127,0.6765,0.90328,0.92464,1.3951,0.000213541,0.000213541,0.000213541
105,51851.8,0.83948,0.94327,1.31441,0.89369,0.85287,0.90166,0.67696,0.90258,0.92318,1.39465,0.000212375,0.000212375,0.000212375
106,52343.2,0.83735,0.94172,1.3172,0.8939,0.85293,0.90149,0.67735,0.9021,0.92216,1.39436,0.000211203,0.000211203,0.000211203
107,52835.1,0.83996,0.95085,1.31844,0.89515,0.85207,0.90143,0.67772,0.90183,0.92189,1.39432,0.000210024,0.000210024,0.000210024
108,53326.7,0.83291,0.93376,1.30628,0.89778,0.85278,0.90223,0.67858,0.90162,0.92104,1.39438,0.000208839,0.000208839,0.000208839
109,53818.6,0.83105,0.93105,1.30668,0.89875,0.85192,0.90234,0.67925,0.90095,0.92046,1.39441,0.000207648,0.000207648,0.000207648
110,54314.1,0.82922,0.93116,1.30968,0.90001,0.85133,0.90247,0.67944,0.9003,0.91877,1.39414,0.000206451,0.000206451,0.000206451
111,54807.5,0.82854,0.93685,1.31198,0.90106,0.85207,0.9028,0.67953,0.89985,0.91747,1.39389,0.000205249,0.000205249,0.000205249
112,55300.9,0.83051,0.93752,1.30925,0.90065,0.85206,0.90308,0.67981,0.89951,0.91758,1.39361,0.000204041,0.000204041,0.000204041
113,55793.1,0.82729,0.93805,1.30359,0.89739,0.85509,0.90341,0.68019,0.89879,0.91721,1.39322,0.000202827,0.000202827,0.000202827
114,56286.2,0.8255,0.91537,1.2988,0.89741,0.85569,0.90397,0.68067,0.89814,0.91571,1.39307,0.000201608,0.000201608,0.000201608
115,56780.7,0.81646,0.91133,1.29368,0.89279,0.85885,0.90382,0.68175,0.89745,0.91453,1.39263,0.000200384,0.000200384,0.000200384
116,57274.9,0.82075,0.92684,1.3021,0.89318,0.85985,0.90418,0.68199,0.89731,0.91419,1.39317,0.000199154,0.000199154,0.000199154
117,57770.1,0.80861,0.89973,1.28835,0.89299,0.85909,0.90432,0.68232,0.89701,0.91339,1.39317,0.00019792,0.00019792,0.00019792
118,58265.1,0.8078,0.90421,1.29029,0.89441,0.85844,0.90512,0.68289,0.89632,0.91208,1.39263,0.000196681,0.000196681,0.000196681
119,58760,0.80894,0.90545,1.28682,0.89393,0.85845,0.90506,0.68354,0.89578,0.91111,1.3923,0.000195437,0.000195437,0.000195437
120,59257,0.81134,0.9002,1.28332,0.89425,0.85769,0.90515,0.68417,0.89515,0.9091,1.39183,0.000194189,0.000194189,0.000194189
121,59751.6,0.80603,0.90005,1.2783,0.89339,0.85784,0.905,0.6843,0.89452,0.91019,1.39164,0.000192936,0.000192936,0.000192936
122,60245.9,0.80584,0.89189,1.27762,0.89191,0.85871,0.90469,0.68426,0.89432,0.90967,1.39135,0.000191679,0.000191679,0.000191679
123,60740.1,0.79531,0.88472,1.26956,0.89112,0.85793,0.9048,0.68441,0.8939,0.90802,1.39092,0.000190418,0.000190418,0.000190418
124,61234.3,0.79807,0.888,1.27456,0.88968,0.85807,0.90451,0.68468,0.89322,0.90706,1.39068,0.000189153,0.000189153,0.000189153
125,61727.8,0.79855,0.88911,1.27648,0.89043,0.85721,0.90476,0.68501,0.89283,0.9061,1.39093,0.000187884,0.000187884,0.000187884
126,62221.2,0.79765,0.88775,1.27237,0.88991,0.85785,0.9052,0.68563,0.89208,0.90508,1.39071,0.000186611,0.000186611,0.000186611
127,62714.8,0.79129,0.87946,1.26653,0.8894,0.85817,0.90556,0.68634,0.89166,0.90387,1.39075,0.000185335,0.000185335,0.000185335
128,63208.2,0.79346,0.87497,1.2661,0.88884,0.85948,0.9058,0.6866,0.89175,0.90367,1.39077,0.000184055,0.000184055,0.000184055
129,63701.9,0.79444,0.8874,1.26889,0.88582,0.86248,0.90589,0.68673,0.89158,0.90222,1.39114,0.000182772,0.000182772,0.000182772
130,64196.9,0.783,0.86332,1.2586,0.88858,0.86203,0.90621,0.68685,0.8914,0.9022,1.39139,0.000181486,0.000181486,0.000181486
131,64697.6,0.78601,0.87412,1.25854,0.8967,0.85522,0.90695,0.68745,0.89135,0.90262,1.3915,0.000180197,0.000180197,0.000180197
132,65187.7,0.7832,0.8678,1.25526,0.8961,0.8561,0.90723,0.68755,0.89133,0.90235,1.39177,0.000178905,0.000178905,0.000178905
133,65677.9,0.77785,0.85664,1.25044,0.89513,0.8564,0.90709,0.68865,0.89053,0.9024,1.39112,0.00017761,0.00017761,0.00017761
134,66167.8,0.78297,0.86359,1.26166,0.90173,0.84884,0.90711,0.689,0.89026,0.90275,1.3915,0.000176313,0.000176313,0.000176313
135,66660.2,0.77522,0.85038,1.2523,0.89927,0.85209,0.90744,0.68944,0.88948,0.90133,1.39104,0.000175013,0.000175013,0.000175013
136,67151.1,0.776,0.85818,1.25101,0.89401,0.85669,0.90755,0.68929,0.88868,0.89998,1.39074,0.000173711,0.000173711,0.000173711
137,67641.8,0.76785,0.86066,1.24875,0.88844,0.86297,0.90752,0.68987,0.88829,0.89995,1.39095,0.000172406,0.000172406,0.000172406
138,68132.4,0.76994,0.85596,1.2484,0.89205,0.85733,0.90788,0.69059,0.88813,0.89811,1.3913,0.0001711,0.0001711,0.0001711
139,68623.1,0.76976,0.85882,1.24848,0.88588,0.86451,0.90794,0.69143,0.88769,0.89771,1.39149,0.000169792,0.000169792,0.000169792
140,69115.6,0.76543,0.84313,1.24446,0.8856,0.86519,0.90799,0.69169,0.88705,0.89829,1.39152,0.000168482,0.000168482,0.000168482
141,69606.5,0.76422,0.84032,1.2402,0.88794,0.8632,0.908,0.69195,0.88676,0.89814,1.39155,0.000167171,0.000167171,0.000167171
142,70096.9,0.76456,0.84458,1.24581,0.87821,0.87148,0.90808,0.69235,0.88617,0.89843,1.39161,0.000165858,0.000165858,0.000165858
143,70587.3,0.75978,0.83841,1.23902,0.89104,0.85946,0.90824,0.69286,0.88611,0.89953,1.3921,0.000164543,0.000164543,0.000164543
144,71078.1,0.75067,0.82793,1.2359,0.89398,0.85629,0.90884,0.69326,0.88586,0.89865,1.39258,0.000163228,0.000163228,0.000163228
145,71570.9,0.75572,0.83303,1.23573,0.89511,0.85502,0.90904,0.69323,0.88528,0.89895,1.39274,0.000161912,0.000161912,0.000161912
146,72061.3,0.75337,0.83382,1.23446,0.89559,0.85549,0.90905,0.69361,0.88483,0.89982,1.39265,0.000160594,0.000160594,0.000160594
147,72552.1,0.74928,0.82769,1.23228,0.9031,0.85239,0.90933,0.6941,0.88457,0.89773,1.39329,0.000159276,0.000159276,0.000159276
148,73043,0.74681,0.83028,1.22853,0.90522,0.85071,0.90951,0.69449,0.88423,0.89633,1.3936,0.000157958,0.000157958,0.000157958
149,73535,0.74849,0.83339,1.23117,0.9055,0.85089,0.90961,0.69468,0.88383,0.89484,1.39375,0.000156639,0.000156639,0.000156639
150,74027.6,0.74875,0.82585,1.22576,0.90496,0.85101,0.90957,0.6946,0.88357,0.89487,1.39382,0.000155319,0.000155319,0.000155319
151,74518,0.74392,0.81721,1.22125,0.90455,0.85189,0.90963,0.69499,0.88317,0.89425,1.39385,0.000154,0.000154,0.000154
152,75009.1,0.74358,0.82378,1.22243,0.90585,0.85087,0.9098,0.69532,0.88344,0.89438,1.39521,0.000152681,0.000152681,0.000152681
153,75500.3,0.74145,0.80995,1.21895,0.90744,0.84918,0.90994,0.69574,0.88245,0.89371,1.39453,0.000151361,0.000151361,0.000151361
154,75991.7,0.74086,0.81878,1.21957,0.89249,0.86248,0.91014,0.69598,0.88163,0.89207,1.39437,0.000150042,0.000150042,0.000150042
155,76484.9,0.73663,0.8101,1.21405,0.88973,0.86351,0.91029,0.69631,0.88155,0.89098,1.39491,0.000148724,0.000148724,0.000148724
156,76976.3,0.74045,0.82387,1.21938,0.89191,0.86195,0.91029,0.69641,0.88111,0.89146,1.39456,0.000147406,0.000147406,0.000147406
157,77467.5,0.72839,0.78998,1.20858,0.88542,0.87125,0.91041,0.69638,0.88041,0.89173,1.39459,0.000146088,0.000146088,0.000146088
158,77958.3,0.72757,0.79604,1.21277,0.88744,0.87058,0.91046,0.69667,0.87939,0.89043,1.39344,0.000144772,0.000144772,0.000144772
159,78449.2,0.73765,0.81463,1.21918,0.88735,0.86735,0.91008,0.6964,0.87872,0.88944,1.39325,0.000143457,0.000143457,0.000143457
160,78941.6,0.72846,0.79918,1.20811,0.88706,0.87039,0.90997,0.69648,0.87775,0.88917,1.39248,0.000142142,0.000142142,0.000142142
161,79432.2,0.72219,0.79034,1.20466,0.88807,0.86982,0.91048,0.69693,0.87711,0.8882,1.39226,0.000140829,0.000140829,0.000140829
162,79923.6,0.7284,0.811,1.20724,0.88996,0.86719,0.91037,0.6975,0.87687,0.88876,1.39228,0.000139518,0.000139518,0.000139518
163,80414.9,0.72074,0.79225,1.2039,0.88916,0.8669,0.91029,0.69754,0.87647,0.88793,1.39255,0.000138208,0.000138208,0.000138208
164,80905.9,0.72376,0.80076,1.2037,0.88924,0.8657,0.91051,0.69785,0.87598,0.88782,1.39274,0.0001369,0.0001369,0.0001369
165,81399.6,0.71554,0.7874,1.1965,0.88972,0.86628,0.91071,0.69828,0.87568,0.88922,1.39279,0.000135594,0.000135594,0.000135594
166,81891,0.71723,0.789,1.1971,0.88705,0.86957,0.91052,0.69798,0.875,0.88874,1.39245,0.000134289,0.000134289,0.000134289
167,82382,0.70996,0.78059,1.1988,0.88931,0.86581,0.91038,0.69813,0.87456,0.88771,1.39283,0.000132987,0.000132987,0.000132987
168,82873,0.70934,0.77688,1.19853,0.89032,0.86641,0.91034,0.6983,0.87414,0.88569,1.39317,0.000131687,0.000131687,0.000131687
169,83364.7,0.70892,0.77765,1.19173,0.88987,0.86722,0.91054,0.69904,0.87336,0.8844,1.39328,0.00013039,0.00013039,0.00013039
